Date,Open,High,Low,Close,Adj Close,Volume
2023-01-05,264.040009,264.209991,261.260010,261.579987,259.442047,45396700
2023-01-06,263.350006,269.940002,260.339996,268.799988,266.603058,54659700
2023-01-09,270.829987,275.290009,269.920013,270.540009,268.328796,45568700
2023-01-10,269.489990,272.940002,268.970001,272.829987,270.600037,35247800
2023-01-11,273.920013,277.660004,273.119995,277.549988,275.281494,44077000
2023-01-12,278.119995,280.100006,273.739990,279.049988,276.769226,60600000
2023-01-13,276.500000,281.220001,276.160004,280.970001,278.673523,44802900
2023-01-17,280.769989,282.850006,279.579987,281.540009,279.238892,36269700
2023-01-18,283.109985,284.690002,277.670013,277.880005,275.608795,47754500
2023-01-19,276.220001,277.380005,273.890015,275.149994,272.901093,44150400
2023-01-20,276.790009,283.019989,275.709991,282.679993,280.369568,60613600
2023-01-23,283.540009,290.209991,282.730011,288.959991,286.598236,52799900
2023-01-24,287.309998,289.549988,286.779999,288.369995,286.013062,44875100
2023-01-25,283.769989,288.359985,281.179993,287.730011,285.378296,50872000
2023-01-26,291.220001,293.519989,288.519989,293.339996,290.942474,51596300
2023-01-27,292.000000,298.260010,291.880005,296.260010,293.838562,56441900
2023-01-30,292.929993,294.380005,289.890015,290.269989,287.897522,49405800
2023-01-31,290.309998,294.720001,290.200012,294.619995,292.211975,46705100
2023-02-01,294.410004,303.429993,292.299988,300.920013,298.460480,67562200
2023-02-02,307.570007,313.679993,306.730011,311.720001,309.172211,83070600
2023-02-03,304.940002,312.390015,304.540009,306.179993,303.677490,76170800
2023-02-06,303.510010,305.910004,302.220001,303.589996,301.108643,40802300
2023-02-07,303.459991,311.029999,302.320007,309.880005,307.347260,67584000
2023-02-08,308.540009,309.500000,303.670013,304.369995,301.882294,56720900
2023-02-09,308.839996,308.989990,300.200012,301.679993,299.214264,49137800
2023-02-10,299.480011,301.570007,297.250000,299.700012,297.250458,50050100
2023-02-13,301.130005,305.100006,299.929993,304.500000,302.011230,39636700
2023-02-14,302.890015,307.720001,300.910004,306.750000,304.242828,64079100
2023-02-15,304.899994,309.269989,304.200012,309.100006,306.573608,43100600
2023-02-16,304.380005,308.429993,303.149994,303.299988,300.821045,59498600
2023-02-17,301.070007,301.929993,298.100006,301.160004,298.698517,58230700
2023-02-21,297.260010,298.730011,293.890015,294.029999,291.626801,46526700
2023-02-22,294.619995,296.359985,292.559998,294.250000,291.845001,51389200
2023-02-23,297.970001,298.130005,292.549988,296.820007,294.394012,69294400
2023-02-24,291.760010,292.970001,290.049988,291.850006,289.464630,74332000
2023-02-27,295.070007,296.489990,293.339996,293.940002,291.537537,48995000
2023-02-28,293.299988,296.119995,292.959991,293.559998,291.160645,48243100
2023-03-01,293.260010,293.929993,290.200012,291.200012,288.819977,58287000
2023-03-02,288.660004,294.429993,288.369995,293.609985,291.210266,53565900
2023-03-03,295.390015,299.920013,294.869995,299.679993,297.230652,60511500
2023-03-06,300.940002,304.000000,299.820007,300.019989,297.567841,56736300
2023-03-07,300.070007,301.010010,295.720001,296.339996,293.917908,65955800
2023-03-08,296.769989,298.429993,294.880005,297.820007,295.385864,50876300
2023-03-09,298.329987,300.980011,291.829987,292.660004,290.268036,71456700
2023-03-10,292.829987,294.350006,287.380005,288.549988,286.191589,98593600
2023-03-13,286.730011,294.470001,285.190002,290.690002,288.314117,97123600
2023-03-14,294.309998,297.929993,293.450012,297.369995,294.939484,73602500
2023-03-15,294.709991,299.269989,293.239990,298.929993,296.486694,83631500
2023-03-16,298.000000,307.179993,297.190002,306.809998,304.302338,98198100
2023-03-17,306.720001,309.149994,303.369995,305.359985,302.864197,89923700
2023-03-20,304.260010,306.299988,302.010010,305.970001,303.938995,56359500
2023-03-21,307.940002,310.799988,306.399994,310.339996,308.279968,49757000
2023-03-22,310.269989,315.250000,305.950012,306.119995,304.088043,75791900
2023-03-23,309.920013,314.149994,307.010010,309.750000,307.693939,74576000
2023-03-24,309.320007,310.989990,306.950012,310.890015,308.826385,57195200
2023-03-27,311.600006,312.700012,307.890015,308.760010,306.710480,50287400
2023-03-28,308.170013,308.200012,304.769989,307.119995,305.081360,48585900
2023-03-29,310.880005,313.350006,310.049988,312.720001,310.644226,53274300
2023-03-30,315.239990,316.320007,312.809998,315.679993,313.584564,58354800
2023-03-31,315.910004,321.170013,315.600006,320.929993,318.799683,62138100
2023-04-03,318.769989,320.420013,317.420013,320.149994,318.024872,47126800
2023-04-04,320.600006,321.630005,317.829987,319.070007,316.952087,45875400
2023-04-05,318.100006,319.059998,314.070007,315.920013,313.822998,62795700
2023-04-06,314.239990,318.549988,312.820007,318.049988,315.938812,46916500
2023-04-10,315.070007,317.920013,313.250000,317.869995,315.760040,45134700
2023-04-11,317.829987,317.890015,315.309998,315.829987,313.733582,40113600
2023-04-12,317.820007,318.420013,312.570007,313.040009,310.962097,62813300
2023-04-13,314.829987,319.649994,313.630005,319.170013,317.051422,54613800
2023-04-14,317.589996,320.359985,315.609985,318.570007,316.455414,56278300
2023-04-17,318.149994,319.200012,316.040009,318.839996,316.723572,43007000
2023-04-18,320.989990,321.420013,317.640015,318.859985,316.743439,46746900
2023-04-19,316.410004,319.790009,316.279999,318.709991,316.594482,38960100
2023-04-20,315.690002,319.269989,314.970001,316.279999,314.180573,62462100
2023-04-21,315.910004,317.399994,314.100006,316.609985,314.508392,59002300
2023-04-24,316.380005,317.739990,313.739990,315.950012,313.852814,44043100
2023-04-25,314.290009,314.970001,309.890015,309.989990,307.932312,57121600
2023-04-26,313.440002,314.940002,311.339996,311.869995,309.799866,55400500
2023-04-27,315.700012,320.859985,315.049988,320.350006,318.223572,65430400
2023-04-28,320.109985,322.649994,318.959991,322.559998,320.418915,59652500
2023-05-01,322.089996,323.630005,321.089996,322.190002,320.051361,41013400
2023-05-02,322.119995,322.450012,317.609985,319.380005,317.260010,56519400
2023-05-03,319.750000,322.470001,317.179993,317.290009,315.183868,59882100
2023-05-04,317.059998,318.230011,315.119995,316.170013,314.071289,50224500
2023-05-05,318.470001,323.760010,316.209991,322.890015,320.746704,51776000
2023-05-08,322.420013,324.040009,321.320007,323.690002,321.541382,36465800
2023-05-09,322.000000,322.880005,321.320007,321.640015,319.505005,31768800
2023-05-10,324.119995,326.010010,321.600006,325.140015,322.981812,60446600
2023-05-11,325.700012,326.750000,324.119995,326.200012,324.034760,44278500
2023-05-12,326.739990,327.170013,322.940002,325.029999,322.872498,48396200
2023-05-15,325.510010,327.029999,323.959991,326.790009,324.620850,33375600
2023-05-16,326.059998,328.899994,326.019989,327.160004,324.988342,40019200
2023-05-17,328.239990,331.709991,327.040009,331.119995,328.922119,47486100
2023-05-18,331.519989,337.489990,331.500000,337.269989,335.031281,64213500
2023-05-19,337.489990,338.209991,335.429993,336.510010,334.276306,61462400
2023-05-22,336.250000,338.670013,336.239990,337.640015,335.398834,43015900
2023-05-23,335.890015,337.059998,333.000000,333.359985,331.147186,48216700
2023-05-24,331.369995,332.910004,329.559998,331.649994,329.448578,62891200
2023-05-25,339.140015,341.010010,336.670013,339.720001,337.465027,66862800
2023-05-26,340.760010,349.250000,340.660004,348.399994,346.087372,63007000
2023-05-30,352.709991,353.929993,348.529999,349.980011,347.656891,72652200
2023-05-31,348.369995,350.600006,346.510010,347.989990,345.680084,65105400
2023-06-01,347.730011,353.359985,346.660004,352.010010,349.673431,50488600
2023-06-02,353.799988,355.829987,352.010010,354.649994,352.295929,53293500
2023-06-05,354.429993,357.500000,353.850006,354.899994,352.544250,47266200
2023-06-06,354.279999,355.820007,352.929993,354.839996,352.484589,41390400
2023-06-07,355.130005,357.119995,348.179993,348.820007,346.504608,69225900
2023-06-08,349.119995,353.619995,348.890015,353.149994,350.805847,47153900
2023-06-09,354.630005,357.660004,353.029999,354.500000,352.146912,53155900
2023-06-12,356.190002,360.589996,355.200012,360.489990,358.097107,44606500
2023-06-13,363.290009,364.109985,360.029999,363.260010,360.848694,57097800
2023-06-14,363.269989,366.190002,360.420013,365.899994,363.471222,69525600
2023-06-15,364.609985,371.769989,363.980011,370.260010,367.802307,71138800
2023-06-16,372.720001,372.850006,367.480011,367.929993,365.487732,80875900
2023-06-20,365.950012,368.320007,363.890015,366.899994,364.964539,49204700
2023-06-21,365.739990,366.179993,360.959991,361.899994,359.990906,53378300
2023-06-22,360.630005,366.329987,360.220001,366.170013,364.238373,47603000
2023-06-23,362.209991,364.880005,360.820007,362.540009,360.627502,48873900
2023-06-26,362.000000,364.839996,357.589996,357.679993,355.793121,52685500
2023-06-27,359.250000,364.570007,358.510010,363.829987,361.910675,49428100
2023-06-28,361.980011,366.519989,361.899994,364.540009,362.616974,46498000
2023-06-29,364.239990,364.890015,362.140015,363.809998,361.890839,46151000
2023-06-30,367.549988,370.489990,367.230011,369.420013,367.471252,58668800
2023-07-03,370.070007,370.929993,368.970001,370.290009,368.336609,19432900
2023-07-05,368.700012,372.010010,368.660004,370.279999,368.326691,34460900
2023-07-06,366.510010,367.910004,364.519989,367.459991,365.521545,49374700
2023-07-07,367.230011,370.480011,366.010010,366.239990,364.307983,47083200
2023-07-10,365.959991,367.049988,363.410004,366.359985,364.427338,48498800
2023-07-11,366.790009,368.630005,364.619995,368.170013,366.227844,38214100
2023-07-12,372.339996,374.190002,370.299988,372.820007,370.853302,61975400
2023-07-13,376.049988,379.989990,375.459991,379.149994,377.149933,46960000
